"Level","Item","Description","Qty","Packing DOKAR","Packing DOKNR","Label DOKAR","Label DOKNR","Draw ID","Generic Item","FQty","2BOM","SAP Material ID","SAP Template","Blue","Bblock","BBtype","Smartpart"
"TOP","GRID_PROJECT","GRID_PROJECT","1","","","","","","","","","","","","","","GRID_PROJECT"
"1","HE057-BAY","","1","","","","","","","","","","","","","","HE057-BAY_0001__GIS_RED_016_BHT_BAY_BAY_HE057-BAY_NO_0_NOEMPTY_104000"
"2","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057-TC-001-M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M_NO_0_NOEMPTY_104000"
"2","HE057-TC-006-P","","1","","","","","","","","","","","","","","HE057-TC-006-P_0001__GIS_RED_006_BHT_BAY_Transport Component 6_HE057-TC-006-P_NO_0_NOEMPTY_104000"
"3","HE057-KIT-BAR-S-1","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-1_0001__GIS_RED_020_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-1_NO_0_NOEMPTY_0_104000_ITR_TO_DERAIL"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_036_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY_ITR_TO_DERAIL"
"3","HE057-KIT-BAR-S-2","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-2_0001__GIS_RED_021_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-2_NO_0_NOEMPTY_0_104000"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_037_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY"
"2","HE057-TC-007-P","","1","","","","","","","","","","","","","","HE057-TC-007-P_0001__GIS_RED_007_BHT_BAY_Transport Component 7_HE057-TC-007-P_NO_0_NOEMPTY_104000"
"3","HE057-KIT-BAR-S-3","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-3_0001__GIS_RED_022_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-3_NO_0_NOEMPTY_0_104000_ITR_TO_DERAIL"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_036_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY_ITR_TO_DERAIL"
"3","HE057-KIT-BAR-S-4","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-4_0001__GIS_RED_023_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-4_NO_0_NOEMPTY_0_104000"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_037_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY"
"2","HE057-TC-008-P","","1","","","","","","","","","","","","","","HE057-TC-008-P_0001__GIS_RED_008_BHT_BAY_Transport Component 8_HE057-TC-008-P_NO_0_NOEMPTY_104000"
"3","HE057-KIT-BAR-S-5","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-5_0001__GIS_RED_024_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-5_NO_0_NOEMPTY_0_104000_ITR_TO_DERAIL"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_036_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY_ITR_TO_DERAIL"
"3","HE057-KIT-BAR-S-6","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-6_0001__GIS_RED_025_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-6_NO_0_NOEMPTY_0_104000"
"4","HE057-0","","1","","","","","","","","","","","","","","HE057-0_0001__GIS_037_BHT_BAY_KIT BARRES ACHETE DB401_HE_KIT_BARS_BUY-T_NO_0_104000_NOEMPTY"
"2","HE057-TC-012-P","","1","","","","","","","","","","","","","","HE057-TC-012-P_0001__GIS_RED_012_BHT_BAY_Transport Component 12_HE057-TC-012-P_NO_0_NOEMPTY_104000"
"2","","","1","","","","","","","","","","","","","","100201374"
"3","","","1","","","","","","","","","","","","","","100201376"
"4","HE057-TE-EXP-1","","6","","","","","","","","","","","","","","HE057-TE-EXP-1_0001__GIS_RED_004_BHT_SE_ELEMENT DE COUPLAGE EQUIPE_HE057-TE-EXP-1_NO_BT_TE3"
"5","HE57S90Z80701","INTERFACE OBTURATION M8 BRIDE","1","","","","","","","","","","","","","","HE57S90Z80701"
"5","HE57V51-D-02","PLAN VIROLE TELESCOPIQUE","1","","","","","DRAW","","","","","","","","","HE57V51-D-02"
"5","RANT425950455","O-RING 70Sh.A 6.99x367.67","1","","","","","20","","","","","","","","","RANT425950455"
"5","RANT425950456","O-RING 70Sh.A 6.99x380.37","1","","","","","30","","","","","","","","","RANT425950456"
"5","HE057-29014-00439","","1","","","","","","","","","","","","","","HE057-29014-00439_0001_10_GIS_004_BHT_SE_TE L1680 RAL9016 EP6 CEN WD_HE57V0301-T5_BLUE_0_TE3"
"5","HE57P21Z40301","TELESCOPE DE FONDERIE USINE","1","","","","","60","","","","","","","","","HE57P21Z40301"
"5","HE57S27Z40002","INTERFACE EXPEDITION AVEC VALVE","1","","","","","40","","","","","","","","","HE57S27Z40002"
"5","HE57S27Z40102","KIT EXPED TELESCOPE AVEC VALVE","1","","","","","70","","","","","","","","","HE57S27Z40102"
"4","HE057-3608461250","","6","","","","","","","","","","","","","","HE057-3608461250_0001__GIS_RED_015_BHT_SE_KIT ELEMENT COUPLAGE_HE057-TE-KIT-1_NO_BT_TE3"
"5","HE57S90Z80202","INTERFACE TELESCOPE SUR BRIDE","1","","","","","","","","","","","","","","HE57S90Z80202"
"3","","","1","","","","","","","","","","","","","","100201378"
